,Unnamed: 0,Latitude,Longitude,Height,time_tag,RS PWV,IR PWV,name,datetime,dayofyear_hour_minute,year,month,day,hour,minute,day/night,season,mlp_modified_pwv,rf_modified_pwv
86,86,0.573515192205337,1.03323491718064,1491,A20190220935,3.56,3.27,Birjand,2019-01-22 09:35:00,32255,2019,1,22,9,35,day,Winter,4.419339545550171,4.910967350298298
87,87,0.527962098728285,0.99413954193597,1754,A20190220935,3.43,2.87,Kerman,2019-01-22 09:35:00,32255,2019,1,22,9,35,day,Winter,4.472994649874201,4.806432219759219
88,88,0.622733477111577,0.896226570899088,1191,A20190220940,5.77,8.45,Tehran,2019-01-22 09:40:00,32260,2019,1,22,9,40,day,Winter,7.655042362543603,8.773156812770171
89,89,0.566533875197359,0.902509756206268,1550,A20190222140,5.76,3.65,Esfahan,2019-01-22 21:40:00,32980,2019,1,22,21,40,night,Winter,6.420116675400311,7.004931628754144
90,90,0.515395728113926,0.917694120698618,1491,A20190222140,3.63,2.16,Shiraz,2019-01-22 21:40:00,32980,2019,1,22,21,40,night,Winter,5.376937764988961,5.745167593324481
91,91,0.632856386773144,1.04073983296422,990,A20190222140,6.26,4.28,Mashhad,2019-01-22 21:40:00,32980,2019,1,22,21,40,night,Winter,6.874679321243579,6.948426991266965
92,92,0.51417399763753,1.06255644861415,1370,A20190222140,3.69,3.48,Zahedan,2019-01-22 21:40:00,32980,2019,1,22,21,40,night,Winter,5.291588817568596,5.998296030966576
93,93,0.664621379159441,0.807738377822976,1361,A20190222315,5.29,2.19,Tabriz,2019-01-22 23:15:00,33075,2019,1,22,23,15,night,Winter,7.114082903931316,7.047018442730584
94,94,0.622733477111577,0.896226570899088,1191,A20190222320,5.69,4.59,Tehran,2019-01-22 23:20:00,33080,2019,1,22,23,20,night,Winter,7.434854200190698,7.675658735144107
95,95,0.597949801733257,0.822224610614529,1322,A20190222320,5.62,4.15,Kermanshah,2019-01-22 23:20:00,33080,2019,1,22,23,20,night,Winter,7.2409065416077425,8.243603200805802
96,96,0.573515192205337,1.03323491718064,1491,A20190230840,5.09,4.73,Birjand,2019-01-23 08:40:00,33640,2019,1,23,8,40,day,Winter,4.825918297725125,5.101923932541795
97,97,0.527962098728285,0.99413954193597,1754,A20190230840,4.31,4.86,Kerman,2019-01-23 08:40:00,33640,2019,1,23,8,40,day,Winter,5.157750198389558,5.025936938096594
98,98,0.632856386773144,1.04073983296422,990,A20190232220,5.53,3.23,Mashhad,2019-01-23 22:20:00,34460,2019,1,23,22,20,night,Winter,6.524483444673929,6.8995239270229405
99,99,0.597949801733257,0.822224610614529,1322,A20190232220,7.18,3.49,Kermanshah,2019-01-23 22:20:00,34460,2019,1,23,22,20,night,Winter,6.9876824536473165,7.935544633389158
100,100,0.664621379159441,0.807738377822976,1361,A20190232220,5.13,3.49,Tabriz,2019-01-23 22:20:00,34460,2019,1,23,22,20,night,Winter,7.457618479592477,7.648597789785259
101,101,0.622733477111577,0.896226570899088,1191,A20190232225,6.02,2.45,Tehran,2019-01-23 22:25:00,34465,2019,1,23,22,25,night,Winter,6.6533981182579405,7.212693077470763
102,102,0.566533875197359,0.902509756206268,1550,A20190232225,5.71,2.58,Esfahan,2019-01-23 22:25:00,34465,2019,1,23,22,25,night,Winter,6.054812436819633,7.165815108731597
103,103,0.51417399763753,1.06255644861415,1370,A20190232225,3.76,5.81,Zahedan,2019-01-23 22:25:00,34465,2019,1,23,22,25,night,Winter,6.575849642991299,6.764184631685637
104,104,0.573515192205337,1.03323491718064,1491,A20190240925,3.62,2.8,Birjand,2019-01-24 09:25:00,35125,2019,1,24,9,25,day,Winter,4.110237122026142,4.984735385287338
105,105,0.527962098728285,0.99413954193597,1754,A20190240925,6.03,5.15,Kerman,2019-01-24 09:25:00,35125,2019,1,24,9,25,day,Winter,5.404196539742835,5.65631809562528
106,106,0.622733477111577,0.896226570899088,1191,A20190240925,6.94,6.73,Tehran,2019-01-24 09:25:00,35125,2019,1,24,9,25,day,Winter,6.599812099362824,8.495204490389188
107,107,0.632856386773144,1.04073983296422,990,A20190242125,5.28,3.3,Mashhad,2019-01-24 21:25:00,35845,2019,1,24,21,25,night,Winter,6.471583559543675,6.876820258914707
108,108,0.622733477111577,0.896226570899088,1191,A20190242305,6.77,3.83,Tehran,2019-01-24 23:05:00,35945,2019,1,24,23,5,night,Winter,7.133467345715283,7.94962612831909
109,109,0.566533875197359,0.902509756206268,1550,A20190242305,6.17,2.09,Esfahan,2019-01-24 23:05:00,35945,2019,1,24,23,5,night,Winter,5.923159644344484,6.716309029150047
110,110,0.597949801733257,0.822224610614529,1322,A20190242305,7.09,5.31,Kermanshah,2019-01-24 23:05:00,35945,2019,1,24,23,5,night,Winter,7.734021478420492,8.006826287316603
111,111,0.573515192205337,1.03323491718064,1491,A20190250830,4.97,5.74,Birjand,2019-01-25 08:30:00,36510,2019,1,25,8,30,day,Winter,5.233240337988956,6.033046375338302
112,112,0.527962098728285,0.99413954193597,1754,A20190251005,4.57,4.12,Kerman,2019-01-25 10:05:00,36605,2019,1,25,10,5,day,Winter,4.93114579481551,5.842554346378231
113,113,0.622733477111577,0.896226570899088,1191,A20190252210,7.05,4.93,Tehran,2019-01-25 22:10:00,37330,2019,1,25,22,10,night,Winter,7.521578883536425,7.44330037616571
114,114,0.566533875197359,0.902509756206268,1550,A20190252210,5.05,3.71,Esfahan,2019-01-25 22:10:00,37330,2019,1,25,22,10,night,Winter,6.480638467735186,7.452624587289151
115,115,0.515395728113926,0.917694120698618,1491,A20190252210,10.2,7.26,Shiraz,2019-01-25 22:10:00,37330,2019,1,25,22,10,night,Winter,7.889026193622239,8.174367493517263
116,116,0.51417399763753,1.06255644861415,1370,A20190252210,6.64,7.06,Zahedan,2019-01-25 22:10:00,37330,2019,1,25,22,10,night,Winter,7.429264760041126,8.161383630506133
117,117,0.597949801733257,0.822224610614529,1322,A20190252210,7.58,5.15,Kermanshah,2019-01-25 22:10:00,37330,2019,1,25,22,10,night,Winter,7.604825905448892,7.978832740019017
