Latitude,Longitude,Height,time_tag,RS PWV,IR PWV,name,datetime,dayofyear_hour_minute,year,month,day,hour,minute,day/night,season,mlp_modified_pwv,rf_modified_pwv
0.622733477,0.896226571,1191,A20190240925,6.94,6.73,Tehran,1/24/2019 9:25,35125,2019,1,24,9,25,day,Winter,6.599812099,8.49520449
0.573515192,1.033234917,1491,A20190250830,4.97,5.74,Birjand,1/25/2019 8:30,36510,2019,1,25,8,30,day,Winter,5.233240338,6.033046375
0.527962099,0.994139542,1754,A20190251005,4.57,4.12,Kerman,1/25/2019 10:05,36605,2019,1,25,10,5,day,Winter,4.931145795,5.842554346
0.546811655,0.849451747,22,A20190260910,15.87,12.75,Ahwaz,1/26/2019 9:10,37990,2019,1,26,9,10,day,Winter,11.42778223,12.1908933
0.527962099,0.994139542,1754,A20190260910,6.62,8.2,Kerman,1/26/2019 9:10,37990,2019,1,26,9,10,day,Winter,7.289863798,7.978321478
0.622733477,0.896226571,1191,A20190260915,6.14,6.68,Tehran,1/26/2019 9:15,37995,2019,1,26,9,15,day,Winter,6.505239748,7.964563788
0.573515192,1.033234917,1491,A20190270955,5.87,5.42,Birjand,1/27/2019 9:55,39475,2019,1,27,9,55,day,Winter,5.440515305,5.574263872
0.527962099,0.994139542,1754,A20190270955,4.86,4.22,Kerman,1/27/2019 9:55,39475,2019,1,27,9,55,day,Winter,5.006225774,4.909251153
0.573515192,1.033234917,1491,A20190280900,12.7,10.94,Birjand,1/28/2019 9:00,40860,2019,1,28,9,0,day,Winter,9.022959384,10.88456162
0.546811655,0.849451747,22,A20190290945,13.04,14.39,Ahwaz,1/29/2019 9:45,42345,2019,1,29,9,45,day,Winter,12.43815164,14.87931704
0.546811655,0.849451747,22,A20190310930,13.55,12.75,Ahwaz,1/31/2019 9:30,45210,2019,1,31,9,30,day,Winter,11.52010518,12.20638154
0.573515192,1.033234917,1491,A20190310930,5.96,4.62,Birjand,1/31/2019 9:30,45210,2019,1,31,9,30,day,Winter,4.80198274,5.107023426
0.527962099,0.994139542,1754,A20190310930,3.16,2.3,Kerman,1/31/2019 9:30,45210,2019,1,31,9,30,day,Winter,3.956187029,4.580858566
0.622733477,0.896226571,1191,A20190310930,9.87,10.3,Tehran,1/31/2019 9:30,45210,2019,1,31,9,30,day,Winter,8.874277243,10.13457181
0.573515192,1.033234917,1491,A20190320835,6.85,7.56,Birjand,2/1/2019 8:35,46595,2019,2,1,8,35,day,Winter,6.62517362,7.278802502
0.527962099,0.994139542,1754,A20190321015,4.38,7.23,Kerman,2/1/2019 10:15,46695,2019,2,1,10,15,day,Winter,6.967114731,6.907980363
0.546811655,0.849451747,22,A20190330920,15.02,17.02,Ahwaz,2/2/2019 9:20,48080,2019,2,2,9,20,day,Winter,15.16537169,16.24006088
0.573515192,1.033234917,1491,A20190330920,10.89,6.82,Birjand,2/2/2019 9:20,48080,2019,2,2,9,20,day,Winter,6.264498291,7.112522532
0.527962099,0.994139542,1754,A20190330920,9.49,5.48,Kerman,2/2/2019 9:20,48080,2019,2,2,9,20,day,Winter,5.554572076,5.6588006
0.546811655,0.849451747,22,A20190341000,8.19,8.03,Ahwaz,2/3/2019 10:00,49560,2019,2,3,10,0,day,Winter,10.03417288,7.998917951
0.527962099,0.994139542,1754,A20190350905,3.8,5.14,Kerman,2/4/2019 9:05,50945,2019,2,4,9,5,day,Winter,5.20573166,5.622585891
0.622733477,0.896226571,1191,A20190350905,6.2,6.2,Tehran,2/4/2019 9:05,50945,2019,2,4,9,5,day,Winter,6.48133396,7.881293057
0.546811655,0.849451747,22,A20190360950,6.13,6.6,Ahwaz,2/5/2019 9:50,52430,2019,2,5,9,50,day,Winter,9.665690493,7.594885162
0.527962099,0.994139542,1754,A20190360950,3.65,4.71,Kerman,2/5/2019 9:50,52430,2019,2,5,9,50,day,Winter,5.15513416,4.564135308
0.622733477,0.896226571,1191,A20190360950,5.42,6.04,Tehran,2/5/2019 9:50,52430,2019,2,5,9,50,day,Winter,6.651725437,7.516783356
0.573515192,1.033234917,1491,A20190370855,4.85,4.46,Birjand,2/6/2019 8:55,53815,2019,2,6,8,55,day,Winter,4.756621723,4.420975675
0.527962099,0.994139542,1754,A20190370855,2.77,3.91,Kerman,2/6/2019 8:55,53815,2019,2,6,8,55,day,Winter,4.568504011,4.375408758
0.622733477,0.896226571,1191,A20190370855,4.04,4.22,Tehran,2/6/2019 8:55,53815,2019,2,6,8,55,day,Winter,5.697156333,7.112901422
0.573515192,1.033234917,1491,A20190380935,4.84,4.13,Birjand,2/7/2019 9:35,55295,2019,2,7,9,35,day,Winter,4.665691881,4.348035753
0.527962099,0.994139542,1754,A20190390840,5.32,6.44,Kerman,2/8/2019 8:40,56680,2019,2,8,8,40,day,Winter,5.918786926,6.328145584
0.546811655,0.849451747,22,A20190430955,13.48,14.68,Ahwaz,2/12/2019 9:55,62515,2019,2,12,9,55,day,Winter,13.77439566,15.57845763
0.622733477,0.896226571,1191,A20190430955,7.39,8.64,Tehran,2/12/2019 9:55,62515,2019,2,12,9,55,day,Winter,8.16860474,8.21512299
0.622733477,0.896226571,1191,A20190440900,5.87,3.6,Tehran,2/13/2019 9:00,63900,2019,2,13,9,0,day,Winter,5.318278942,7.092156923
0.527962099,0.994139542,1754,A20190450940,2.16,1.91,Kerman,2/14/2019 9:40,65380,2019,2,14,9,40,day,Winter,3.522349121,3.167911515
0.622733477,0.896226571,1191,A20190450945,6.7,6.81,Tehran,2/14/2019 9:45,65385,2019,2,14,9,45,day,Winter,7.011624615,7.91287001
0.573515192,1.033234917,1491,A20190460850,8.55,6.9,Birjand,2/15/2019 8:50,66770,2019,2,15,8,50,day,Winter,6.019780847,7.375250986
0.622733477,0.896226571,1191,A20190470930,7,8.34,Tehran,2/16/2019 9:30,68250,2019,2,16,9,30,day,Winter,7.918023307,8.290933505
0.573515192,1.033234917,1491,A20190480835,7,9.22,Birjand,2/17/2019 8:35,69635,2019,2,17,8,35,day,Winter,7.703537427,8.571969057
0.546811655,0.849451747,22,A20190481015,15.15,16.66,Ahwaz,2/17/2019 10:15,69735,2019,2,17,10,15,day,Winter,15.56135219,16.23870849
0.546811655,0.849451747,22,A20190490920,11.75,14.75,Ahwaz,2/18/2019 9:20,71120,2019,2,18,9,20,day,Winter,14.29198242,15.71537532
0.527962099,0.994139542,1754,A20190490920,3.12,2.46,Kerman,2/18/2019 9:20,71120,2019,2,18,9,20,day,Winter,3.505605786,4.533635996
0.622733477,0.896226571,1191,A20190490920,5.49,6.2,Tehran,2/18/2019 9:20,71120,2019,2,18,9,20,day,Winter,6.589392017,7.902341244
0.546811655,0.849451747,22,A20190501000,12.89,12.55,Ahwaz,2/19/2019 10:00,72600,2019,2,19,10,0,day,Winter,12.96038112,12.31035911
0.527962099,0.994139542,1754,A20190501000,4.81,4.47,Kerman,2/19/2019 10:00,72600,2019,2,19,10,0,day,Winter,4.58055216,5.305548215
0.527962099,0.994139542,1754,A20190510905,5.61,8.52,Kerman,2/20/2019 9:05,73985,2019,2,20,9,5,day,Winter,7.315365952,8.043231469
0.546811655,0.849451747,22,A20190520950,11.69,10.92,Ahwaz,2/21/2019 9:50,75470,2019,2,21,9,50,day,Winter,11.72247952,11.3171319
0.573515192,1.033234917,1491,A20190520950,2.29,2.89,Birjand,2/21/2019 9:50,75470,2019,2,21,9,50,day,Winter,3.872069911,4.768811689
0.527962099,0.994139542,1754,A20190520950,4.38,5.04,Kerman,2/21/2019 9:50,75470,2019,2,21,9,50,day,Winter,4.846541213,5.30441718
0.622733477,0.896226571,1191,A20190520950,5.09,7.86,Tehran,2/21/2019 9:50,75470,2019,2,21,9,50,day,Winter,7.629666123,8.686452646
0.527962099,0.994139542,1754,A20190530855,4.51,5.33,Kerman,2/22/2019 8:55,76855,2019,2,22,8,55,day,Winter,4.849818198,5.492784482
0.622733477,0.896226571,1191,A20190530855,7.85,10.76,Tehran,2/22/2019 8:55,76855,2019,2,22,8,55,day,Winter,9.494216211,11.15521823
0.546811655,0.849451747,22,A20190540935,18.22,20.11,Ahwaz,2/23/2019 9:35,78335,2019,2,23,9,35,day,Winter,17.28101396,18.03625872
0.573515192,1.033234917,1491,A20190540935,6.65,8.05,Birjand,2/23/2019 9:35,78335,2019,2,23,9,35,day,Winter,6.907145352,8.354350199
