datetime,Latitude,Longitude,Height,time_tag,RS PWV,IR PWV,name,dayofyear_hour_minute,year,month,day,hour,minute,day/night,season,mlp_modified_pwv,rf_modified_pwv
2/1/2019 10:15,0.527962099,0.994139542,1754,A20190321015,4.38,7.23,Kerman,46695,2019,2,1,10,15,day,Winter,6.967114731,6.907980363
2/2/2019 9:20,0.546811655,0.849451747,22,A20190330920,15.02,17.02,Ahwaz,48080,2019,2,2,9,20,day,Winter,15.16537169,16.24006088
2/2/2019 9:20,0.573515192,1.033234917,1491,A20190330920,10.89,6.82,Birjand,48080,2019,2,2,9,20,day,Winter,6.264498291,7.112522532
2/2/2019 9:20,0.527962099,0.994139542,1754,A20190330920,9.49,5.48,Kerman,48080,2019,2,2,9,20,day,Winter,5.554572076,5.6588006
2/3/2019 10:00,0.546811655,0.849451747,22,A20190341000,8.19,8.03,Ahwaz,49560,2019,2,3,10,0,day,Winter,10.03417288,7.998917951
2/4/2019 9:05,0.527962099,0.994139542,1754,A20190350905,3.8,5.14,Kerman,50945,2019,2,4,9,5,day,Winter,5.20573166,5.622585891
2/4/2019 9:05,0.622733477,0.896226571,1191,A20190350905,6.2,6.2,Tehran,50945,2019,2,4,9,5,day,Winter,6.48133396,7.881293057
2/5/2019 9:50,0.546811655,0.849451747,22,A20190360950,6.13,6.6,Ahwaz,52430,2019,2,5,9,50,day,Winter,9.665690493,7.594885162
2/5/2019 9:50,0.527962099,0.994139542,1754,A20190360950,3.65,4.71,Kerman,52430,2019,2,5,9,50,day,Winter,5.15513416,4.564135308
2/5/2019 9:50,0.622733477,0.896226571,1191,A20190360950,5.42,6.04,Tehran,52430,2019,2,5,9,50,day,Winter,6.651725437,7.516783356
2/6/2019 8:55,0.573515192,1.033234917,1491,A20190370855,4.85,4.46,Birjand,53815,2019,2,6,8,55,day,Winter,4.756621723,4.420975675
2/6/2019 8:55,0.527962099,0.994139542,1754,A20190370855,2.77,3.91,Kerman,53815,2019,2,6,8,55,day,Winter,4.568504011,4.375408758
2/6/2019 8:55,0.622733477,0.896226571,1191,A20190370855,4.04,4.22,Tehran,53815,2019,2,6,8,55,day,Winter,5.697156333,7.112901422
2/7/2019 9:35,0.573515192,1.033234917,1491,A20190380935,4.84,4.13,Birjand,55295,2019,2,7,9,35,day,Winter,4.665691881,4.348035753
2/8/2019 8:40,0.527962099,0.994139542,1754,A20190390840,5.32,6.44,Kerman,56680,2019,2,8,8,40,day,Winter,5.918786926,6.328145584
2/12/2019 9:55,0.546811655,0.849451747,22,A20190430955,13.48,14.68,Ahwaz,62515,2019,2,12,9,55,day,Winter,13.77439566,15.57845763
2/12/2019 9:55,0.622733477,0.896226571,1191,A20190430955,7.39,8.64,Tehran,62515,2019,2,12,9,55,day,Winter,8.16860474,8.21512299
2/13/2019 9:00,0.622733477,0.896226571,1191,A20190440900,5.87,3.6,Tehran,63900,2019,2,13,9,0,day,Winter,5.318278942,7.092156923
2/14/2019 9:40,0.527962099,0.994139542,1754,A20190450940,2.16,1.91,Kerman,65380,2019,2,14,9,40,day,Winter,3.522349121,3.167911515
2/14/2019 9:45,0.622733477,0.896226571,1191,A20190450945,6.7,6.81,Tehran,65385,2019,2,14,9,45,day,Winter,7.011624615,7.91287001
2/15/2019 8:50,0.573515192,1.033234917,1491,A20190460850,8.55,6.9,Birjand,66770,2019,2,15,8,50,day,Winter,6.019780847,7.375250986
2/16/2019 9:30,0.622733477,0.896226571,1191,A20190470930,7,8.34,Tehran,68250,2019,2,16,9,30,day,Winter,7.918023307,8.290933505
2/17/2019 8:35,0.573515192,1.033234917,1491,A20190480835,7,9.22,Birjand,69635,2019,2,17,8,35,day,Winter,7.703537427,8.571969057
2/17/2019 10:15,0.546811655,0.849451747,22,A20190481015,15.15,16.66,Ahwaz,69735,2019,2,17,10,15,day,Winter,15.56135219,16.23870849
2/18/2019 9:20,0.546811655,0.849451747,22,A20190490920,11.75,14.75,Ahwaz,71120,2019,2,18,9,20,day,Winter,14.29198242,15.71537532
2/18/2019 9:20,0.527962099,0.994139542,1754,A20190490920,3.12,2.46,Kerman,71120,2019,2,18,9,20,day,Winter,3.505605786,4.533635996
2/18/2019 9:20,0.622733477,0.896226571,1191,A20190490920,5.49,6.2,Tehran,71120,2019,2,18,9,20,day,Winter,6.589392017,7.902341244
2/19/2019 10:00,0.546811655,0.849451747,22,A20190501000,12.89,12.55,Ahwaz,72600,2019,2,19,10,0,day,Winter,12.96038112,12.31035911
2/19/2019 10:00,0.527962099,0.994139542,1754,A20190501000,4.81,4.47,Kerman,72600,2019,2,19,10,0,day,Winter,4.58055216,5.305548215
2/20/2019 9:05,0.527962099,0.994139542,1754,A20190510905,5.61,8.52,Kerman,73985,2019,2,20,9,5,day,Winter,7.315365952,8.043231469
2/21/2019 9:50,0.546811655,0.849451747,22,A20190520950,11.69,10.92,Ahwaz,75470,2019,2,21,9,50,day,Winter,11.72247952,11.3171319
2/21/2019 9:50,0.573515192,1.033234917,1491,A20190520950,2.29,2.89,Birjand,75470,2019,2,21,9,50,day,Winter,3.872069911,4.768811689
2/21/2019 9:50,0.527962099,0.994139542,1754,A20190520950,4.38,5.04,Kerman,75470,2019,2,21,9,50,day,Winter,4.846541213,5.30441718
2/21/2019 9:50,0.622733477,0.896226571,1191,A20190520950,5.09,7.86,Tehran,75470,2019,2,21,9,50,day,Winter,7.629666123,8.686452646
2/22/2019 8:55,0.527962099,0.994139542,1754,A20190530855,4.51,5.33,Kerman,76855,2019,2,22,8,55,day,Winter,4.849818198,5.492784482
2/22/2019 8:55,0.622733477,0.896226571,1191,A20190530855,7.85,10.76,Tehran,76855,2019,2,22,8,55,day,Winter,9.494216211,11.15521823
2/23/2019 9:35,0.546811655,0.849451747,22,A20190540935,18.22,20.11,Ahwaz,78335,2019,2,23,9,35,day,Winter,17.28101396,18.03625872
2/23/2019 9:35,0.573515192,1.033234917,1491,A20190540935,6.65,8.05,Birjand,78335,2019,2,23,9,35,day,Winter,6.907145352,8.354350199
2/23/2019 9:35,0.527962099,0.994139542,1754,A20190540935,7.8,5.61,Kerman,78335,2019,2,23,9,35,day,Winter,5.112053102,5.841422152
2/23/2019 9:35,0.622733477,0.896226571,1191,A20190540935,7.06,5.3,Tehran,78335,2019,2,23,9,35,day,Winter,6.188616586,7.221795253
2/24/2019 8:40,0.573515192,1.033234917,1491,A20190550840,4.16,6.62,Birjand,79720,2019,2,24,8,40,day,Winter,5.637166342,6.611968672
2/24/2019 8:40,0.527962099,0.994139542,1754,A20190550840,7.87,12.86,Kerman,79720,2019,2,24,8,40,day,Winter,10.25749776,11.49266667
2/24/2019 10:20,0.546811655,0.849451747,22,A20190551020,12.65,10.37,Ahwaz,79820,2019,2,24,10,20,day,Winter,11.71026274,10.4474304
2/25/2019 9:25,0.546811655,0.849451747,22,A20190560925,12.99,8.68,Ahwaz,81205,2019,2,25,9,25,day,Winter,10.93012508,9.130773042
2/25/2019 9:25,0.622733477,0.896226571,1191,A20190560925,7.93,8.43,Tehran,81205,2019,2,25,9,25,day,Winter,7.979072646,8.828383537
2/26/2019 10:05,0.546811655,0.849451747,22,A20190571005,8.91,10.52,Ahwaz,82685,2019,2,26,10,5,day,Winter,11.91662394,10.46309172
2/26/2019 10:05,0.527962099,0.994139542,1754,A20190571005,2.58,3.9,Kerman,82685,2019,2,26,10,5,day,Winter,4.062794581,5.677748314
2/28/2019 9:55,0.546811655,0.849451747,22,A20190590955,17.05,14.38,Ahwaz,85555,2019,2,28,9,55,day,Winter,14.07034743,14.83153359
2/28/2019 9:55,0.573515192,1.033234917,1491,A20190590955,5.83,8.83,Birjand,85555,2019,2,28,9,55,day,Winter,7.438135243,8.333480819
2/28/2019 9:55,0.527962099,0.994139542,1754,A20190590955,9.05,10.83,Kerman,85555,2019,2,28,9,55,day,Winter,8.907132141,10.37063883
3/1/2019 9:00,0.573515192,1.033234917,1491,A20190600900,10.55,16.49,Birjand,86940,2019,3,1,9,0,day,Spring,12.08557368,15.68928259
3/1/2019 9:00,0.527962099,0.994139542,1754,A20190600900,6.67,12.04,Kerman,86940,2019,3,1,9,0,day,Spring,9.927847952,12.70860681
3/2/2019 9:40,0.527962099,0.994139542,1754,A20190610940,1.85,4.12,Kerman,88420,2019,3,2,9,40,day,Spring,4.158154134,4.565867359
3/2/2019 9:45,0.546811655,0.849451747,22,A20190610945,14.78,9.73,Ahwaz,88425,2019,3,2,9,45,day,Spring,12.15227095,9.88079892
3/2/2019 9:45,0.622733477,0.896226571,1191,A20190610945,6.9,4.24,Tehran,88425,2019,3,2,9,45,day,Spring,6.090442166,7.598353908
3/3/2019 8:45,0.527962099,0.994139542,1754,A20190620845,3.44,3.61,Kerman,89805,2019,3,3,8,45,day,Spring,3.711334377,4.505999643
3/3/2019 8:50,0.573515192,1.033234917,1491,A20190620850,7.29,13.43,Birjand,89810,2019,3,3,8,50,day,Spring,10.84268303,13.52097916
3/3/2019 10:25,0.546811655,0.849451747,22,A20190621025,11.71,7.79,Ahwaz,89905,2019,3,3,10,25,day,Spring,11.39856039,9.198285326
3/4/2019 9:30,0.573515192,1.033234917,1491,A20190630930,7.39,6.71,Birjand,91290,2019,3,4,9,30,day,Spring,6.110915262,6.712702974
3/4/2019 9:30,0.527962099,0.994139542,1754,A20190630930,3.73,2.68,Kerman,91290,2019,3,4,9,30,day,Spring,3.27381917,4.42866158
3/4/2019 9:30,0.622733477,0.896226571,1191,A20190630930,6.39,5.59,Tehran,91290,2019,3,4,9,30,day,Spring,6.72203149,8.820851188
3/5/2019 10:15,0.527962099,0.994139542,1754,A20190641015,2.74,4.65,Kerman,92775,2019,3,5,10,15,day,Spring,4.487771239,5.064356812
3/5/2019 10:15,0.622733477,0.896226571,1191,A20190641015,7.49,4.71,Tehran,92775,2019,3,5,10,15,day,Spring,6.387933795,8.213267318
3/6/2019 9:20,0.573515192,1.033234917,1491,A20190650920,3.96,4.12,Birjand,94160,2019,3,6,9,20,day,Spring,4.306466866,4.498448639
3/6/2019 9:20,0.527962099,0.994139542,1754,A20190650920,4.89,2.83,Kerman,94160,2019,3,6,9,20,day,Spring,3.248492252,4.382435698
3/7/2019 10:00,0.546811655,0.849451747,22,A20190661000,9.59,8.84,Ahwaz,95640,2019,3,7,10,0,day,Spring,11.97516144,9.832491904
3/8/2019 9:05,0.573515192,1.033234917,1491,A20190670905,4.78,5.86,Birjand,97025,2019,3,8,9,5,day,Spring,5.38301618,6.188816302
3/8/2019 9:05,0.527962099,0.994139542,1754,A20190670905,6.6,5.32,Kerman,97025,2019,3,8,9,5,day,Spring,4.696213862,5.595644814
3/9/2019 9:50,0.546811655,0.849451747,22,A20190680950,12.86,11.77,Ahwaz,98510,2019,3,9,9,50,day,Spring,13.49025765,11.66954163
