Latitude,Longitude,Height,Time,Time_t,Time_y,RS_PWV,IR_PWV,name
32.46,51.71,1550,43497.9271,02/01/2019 22:15:01,31.9271000000008,0.518,0.599,Esfahan
36.26,59.63,990,43497.9271,02/01/2019 22:15:01,31.9271000000008,0.775,0.77,Mashhad
29.46,60.88,1370,43497.9306,02/01/2019 22:20:03,31.9305999999997,0.486,0.504,Zahedan
30.25,56.96,1754,43498.3889,02/02/2019 09:20:00,32.3888999999981,0.949,0.548,Kerman
31.33,48.67,22,43498.3889,02/02/2019 09:20:00,32.3888999999981,1.502,1.702,Ahwaz
32.86,59.2,1491,43498.3889,02/02/2019 09:20:00,32.3888999999981,1.089,0.682,Birjand
36.26,59.63,990,43498.8889,02/02/2019 21:20:00,32.8888999999981,0.898,0.918,Mashhad
32.46,51.71,1550,43498.9583,02/02/2019 22:59:57,32.9582999999984,0.64,0.503,Esfahan
38.08,46.28,1361,43498.9583,02/02/2019 22:59:57,32.9582999999984,0.815,0.345,Tabriz
31.33,48.67,22,43499.4167,02/03/2019 10:00:02,33.4167000000016,0.819,0.803,Ahwaz
32.46,51.71,1550,43499.9201,02/03/2019 22:04:56,33.920100000003,0.774,0.346,Esfahan
35.68,51.35,1191,43499.9201,02/03/2019 22:04:56,33.920100000003,1.075,0.408,Tehran
30.25,56.96,1754,43500.3785,02/04/2019 09:05:02,34.3784999999989,0.38,0.514,Kerman
35.68,51.35,1191,43500.3785,02/04/2019 09:05:02,34.3784999999989,0.62,0.62,Tehran
35.68,51.35,1191,43500.9479,02/04/2019 22:44:58,34.9478999999992,0.702,0.429,Tehran
38.08,46.28,1361,43500.9479,02/04/2019 22:44:58,34.9478999999992,0.617,0.201,Tabriz
29.53,52.58,1491,43500.9514,02/04/2019 22:50:00,34.9513999999981,0.258,0.16,Shiraz
34.26,47.11,1322,43500.9514,02/04/2019 22:50:00,34.9513999999981,0.518,0.187,Kermanshah
30.25,56.96,1754,43501.4097,02/05/2019 09:49:58,35.4096999999965,0.365,0.471,Kerman
31.33,48.67,22,43501.4097,02/05/2019 09:49:58,35.4096999999965,0.613,0.66,Ahwaz
