Site,Longitude,Latitude,EastVelocity,NorthVelocity,EastError,NorthError,Correlation,Solution,Speed
DBYZ,44.145,39.556,3.71,7.97,0.71,0.72,-0.03,Reilinger,8.791188771
DEDA,50.578,30.99,-0.29,17.36,1.64,1.62,0,Raeesi,17.36242207
DEH2,54.7,28.645,-3.03,13.4,1.28,1.28,0.002,Raeesi,13.73830048
DELO,47.429,32.692,-1.56,16.56,1.76,1.75,0.009,Raeesi,16.63331597
DENA,56.504,28.529,4.27,14.19,1.04,0.96,-0.014,Raeesi,14.81853569
DESL,59.297,31.196,2.06,7.2,1.6,1.59,0.002,Raeesi,7.48889845
DEZF,48.678,32.657,-4.02,17.98,1.66,1.65,0.009,Raeesi,18.42391924
DOGH,58.869,35.108,0.36,5.08,0.64,0.63,-0.016,Raeesi,5.092739931
DRGZ,59.0692,37.4662,-0.3,0.93,0.2,0.19,0.007,IPGN,0.977189848
ERZM,41.3,39.973,-0.34,4.93,0.93,0.98,-0.023,Reilinger,4.94171023
ERZR,41.255,39.906,-0.17,4.35,0.87,0.87,-0.003,Reilinger,4.353320572
ESFA,57.427,37.159,0.87,4.71,0.64,0.65,-0.012,Raeesi,4.789676398
ESFN,57.4946,37.0495,0.87,6.07,0.16,0.18,0.007,IPGN,6.132030659
FAR2,52.106,28.851,-3.08,19.15,1.17,1.16,-0.01,Raeesi,19.39610528
FARM,59.843,35.6961,-0.33,2.27,0.11,0.12,0.014,IPGN,2.293861373
FERD,58.1831,34.0307,-1.25,8.23,0.09,0.11,0.019,IPGN,8.324385863
FINO,55.867,27.651,0.97,18.93,2.33,2.19,0.021,Raeesi,18.95483579
FOIM,51.166,35.4093,-1.29,12.25,0.11,0.11,0.014,IPGN,12.31773518
FOPM,50.84,35.7648,-1.26,11.93,0.2,0.17,0.005,IPGN,11.99635361
GARD,59.197,35.495,-0.3,2.72,0.65,0.64,-0.027,Raeesi,2.736494107
GARM,51.6457,35.985,-1.57,10.43,0.1,0.14,0.023,IPGN,10.54750207
GARN,44.742,40.149,1.17,7.14,1.11,1.11,0,Reilinger,7.235226327
GEG0,44.81,40.16,1.83,8.61,0.49,0.48,-0.014,Reilinger,8.802329237
GENO,56.162,27.366,3.58,20.83,2.34,2.18,0.021,Raeesi,21.13540395
GHAB,54.989,36.43,-0.09,10,0.71,0.72,0.01,Raeesi,10.00040499
GHAR,49.851,35.14,-1.92,13.59,0.74,0.72,-0.001,Raeesi,13.72495902
GHO1,49.812,36.699,-1.37,12.77,0.68,0.71,0,Raeesi,12.8432784
GHOL,57.217,28.01,1.67,14.9,0.98,0.9,-0.002,Raeesi,14.99329517
GHOT,44.428,38.489,-0.7,13.3,1.07,1.08,-0.009,Reilinger,13.31840831
GLMT,59.4485,27.4822,3.76,6.39,0.24,0.27,0.008,IPGN,7.41415538
GNDG,54.4141,34.0401,-0.08,12.94,0.59,0.42,0.014,IPGN,12.94024729
GONA,58.6835,34.3731,-0.49,6.3,0.1,0.09,0.02,IPGN,6.319026824
GORI,47.739,33.057,-3.69,17.04,1.72,1.71,0.009,Raeesi,17.43495627
GORI,46.367,39.511,4.95,10.7,0.36,0.36,0.001,Reilinger,11.78950805
GOSM,48.419,38.706,5.18,13.09,0.95,0.83,0.002,Raeesi,14.07765961
GOT2,53.631,28.624,-1.76,16.26,1.3,1.29,0.001,Raeesi,16.35497478
GOTR,55.791,31.416,0.38,11.39,1.62,1.62,0.001,Raeesi,11.39633713
GRME,56.264,37.042,-0.56,8.25,0.52,0.53,-0.012,Raeesi,8.268984218
GWAD,62.3203,25.144,4.99,7.69,0.34,0.31,0.036,Frohling,9.167126049
HAJT,60.502,31.573,1.71,2.6,1.21,1.2,0.005,Raeesi,3.111928662
HAMD,48.5343,34.8691,-1.39,13.01,0.15,0.11,0.01,IPGN,13.08404372
HARA,54.608,30.079,0.4,13.61,0.41,0.39,0.016,Raeesi,13.61587676
HASH,48.922,37.764,2.49,11.8,0.44,0.46,0.004,Raeesi,12.05985489
HEFZ,48.458,38,4.13,12.21,0.81,0.85,-0.018,Raeesi,12.88956943
HELI,52.305,36.206,-2.47,10.03,0.58,0.56,0.02,Raeesi,10.32965634
HINI,41.696,39.369,-0.47,7.54,0.8,0.79,-0.003,Reilinger,7.554634339
HJBD,60.0098,33.6039,0.62,2.24,0.23,0.27,0.007,IPGN,2.324220299
HMEH,40.596,36.584,-5.6,15.23,0.52,0.53,0.001,Reilinger,16.22691899
HORS,42.167,40.042,0.02,7.06,0.76,0.76,-0.009,Reilinger,7.060028329
HOSN,48.2534,32.6699,-3.76,15.1,0.27,0.28,0.003,IPGN,15.56109251
HRMK,57.917,29.642,2.9,10.4,1.62,1.6,0.003,Raeesi,10.79675877
HSAD,57.465,29.371,2.71,14.72,1.61,1.61,0.002,Raeesi,14.9673812
HSGD,50.747,36.0067,-1.68,11.5,0.1,0.11,0.017,IPGN,11.62206522
HSTD,47.0942,37.5762,-0.94,13.89,0.11,0.15,0.008,IPGN,13.92177072
IGIR,44.018,39.929,3.42,5.79,0.8,0.79,-0.004,Reilinger,6.724618948
IJEV,45.139,40.907,3.32,7.35,0.49,0.47,0,Reilinger,8.065041847
ILAM,46.427,33.648,-3.79,16.69,1.1,1.07,0.028,Raeesi,17.11491163
ILLM,46.3974,33.5887,-3.55,16.78,0.1,0.1,0.016,IPGN,17.15141102
INGU,42.062,42.721,-0.95,3.05,0.39,0.39,0,Reilinger,3.194526569
IRAJ,56.445,30.775,-0.08,13.7,1.6,1.6,0.002,Raeesi,13.70023357
ISBA,44.4384,33.3414,-2.41,17.69,0.29,0.38,0,IPGN*,17.85340864
ISER,44.011,36.16,-3.04,17.33,1.35,1.35,0.003,Reilinger,17.59461565
ISL2,53.066,28.347,-2.48,16.4,1.2,1.21,0.001,Raeesi,16.5864523
ISNA,44.353,32.013,-1.42,17.29,0.62,0.62,0.044,Reilinger,17.34821316
ISSD,43.673,34.601,-2.61,18.61,0.73,0.74,0.019,Reilinger,18.79213133
JAM1,45.049,39.297,4.83,10.64,0.72,0.73,-0.003,Raeesi,11.68496898
JASC,57.7699,25.6375,1.86,12.81,0.19,0.16,0.006,IPGN,12.94433081
JASK,57.7639,25.6495,2.06,14.82,0.49,1,0.004,IPGN,14.96248642
JERM,45.661,39.837,4.89,11.54,0.97,0.93,-0.016,Raeesi,12.53330363
JOLF,45.605,38.952,3.85,11.48,0.71,0.71,-0.004,Raeesi,12.10838139
JOZA,48.952,34.256,-3.48,15.82,0.73,0.7,-0.002,Raeesi,16.19823447
KAL2,43.341,38.549,-5.56,12.82,0.66,0.65,0,Reilinger,13.97376113
KALT,59.6404,36.3913,-0.43,1.4,0.17,0.19,0.006,IPGN,1.464547712
KAN2,52.056,27.834,-0.38,22.02,1.25,1.27,-0.01,Raeesi,22.02327859
KAR0,44.657,40.101,2.66,7.97,0.76,0.78,-0.005,Reilinger,8.402172338
KARM,46.459,39.315,3.68,12.33,1.32,0.83,0,Reilinger,12.86745119
KARS,43.17,40.685,1.45,5.63,0.55,0.54,-0.012,Reilinger,5.81372514
KASP,46.758,40.184,3.65,11.03,0.74,0.66,0,Reilinger,11.61823567
KATE,46.511,41.652,0.56,5,0.49,0.49,0,Reilinger,5.031262267
KATI,56.365,31.413,1.28,11.48,1.08,1.08,0.003,Raeesi,11.55113847
KBLG,44.5647,39.0306,4.38,9.86,0.25,0.14,0.005,IPGN,10.78906854
KCHI,67.1128,24.9314,6.45,29.03,0.14,0.11,0.004,Frohling,29.73791183
KERM,57.119,30.277,0.16,15.84,0.54,0.46,0.021,Raeesi,15.84080806
KHAF,60.1583,34.585,0.18,1.42,0.3,0.3,0.008,IPGN,1.431362987
KHAS,56.233,26.208,4.71,25.74,1.37,1.37,0.013,Raeesi,26.16737855
KHAV,46.265,38.736,5.46,10.02,0.69,0.69,-0.005,Raeesi,11.41104728
